event_id,user_id,product_id,product_name,event_type,event_time
10963a56-ec75-4af3-80bb-db29bb2dfe73,user_84,P1004,Camera,view,2025-05-02 12:26:13
32ee3200-4521-4906-bf83-95836e60e8a4,user_50,P1002,Laptop,click,2025-05-02 12:26:13
92daec6c-12c3-4124-897b-55451f9734e3,user_51,P1004,Camera,purchase,2025-05-02 12:26:13
9e1e070b-765a-45f2-b746-58789eb8b1bc,user_52,P1004,Camera,add_to_cart,2025-05-02 12:26:13
f60bc369-3935-4ab5-9a72-f7566294d129,user_48,P1001,Smartphone,purchase,2025-05-02 12:26:13
300d8117-fadf-474e-94f0-d2bc771d14b0,user_23,P1003,Headphones,click,2025-05-02 12:26:13
3ba537f2-0dd1-4285-a12e-bacf9c43239f,user_15,P1002,Laptop,view,2025-05-02 12:26:13
669f9e1b-c065-41a6-80ed-bbed5fd88ebe,user_64,P1003,Headphones,view,2025-05-02 12:26:13
f5563c4f-6aed-47c0-aa50-6fbf9131d5ab,user_17,P1003,Headphones,click,2025-05-02 12:26:13
85002ce3-ec26-4fb3-830a-43a26282e4f8,user_61,P1001,Smartphone,click,2025-05-02 12:26:13
2afd5440-cd3b-4710-b8fb-537ae79eabdb,user_87,P1004,Camera,add_to_cart,2025-05-02 12:26:13
12a70580-2d9d-4d8f-a717-2bebcba50233,user_70,P1003,Headphones,click,2025-05-02 12:26:13
1e2db28a-38bd-4dd4-9dbb-f0579deb07df,user_4,P1005,Smartwatch,click,2025-05-02 12:26:13
1b2da4ea-4e6b-4161-a64b-5dbf45f2fdc8,user_63,P1002,Laptop,view,2025-05-02 12:26:13
ae058e0b-b21e-42f0-8de6-5b26c42c5fcf,user_14,P1005,Smartwatch,view,2025-05-02 12:26:13
c6776be2-d41a-4c49-8ad4-0ad70420c3c7,user_89,P1001,Smartphone,view,2025-05-02 12:26:13
f5aab278-c234-41d6-8240-81cefa7a4f3c,user_70,P1005,Smartwatch,purchase,2025-05-02 12:26:13
77226995-3ce6-47d4-af5b-5f451b93dd7f,user_67,P1001,Smartphone,add_to_cart,2025-05-02 12:26:13
eb95e1e9-4f2e-45ce-9357-fc774b27438d,user_10,P1001,Smartphone,click,2025-05-02 12:26:13
bd6caa4f-ea0d-4feb-9fcf-43c99bafa6fb,user_67,P1003,Headphones,purchase,2025-05-02 12:26:13
bdb13acc-f24e-4382-b2bc-82c0b413a0bb,user_59,P1002,Laptop,click,2025-05-02 12:26:13
2b06197a-1fc7-45b3-9753-852ebf64728a,user_24,P1003,Headphones,click,2025-05-02 12:26:13
46b3e80b-649d-4c06-87db-762bc7a51d6f,user_90,P1003,Headphones,purchase,2025-05-02 12:26:13
64ef8260-8134-49b1-98d6-c5826ffe8849,user_68,P1003,Headphones,click,2025-05-02 12:26:13
f7ab540d-95f0-4707-8fc0-0d53eeb38d46,user_72,P1004,Camera,click,2025-05-02 12:26:13
35190cd1-535e-4b3b-b072-3e7e19925ffb,user_81,P1005,Smartwatch,add_to_cart,2025-05-02 12:26:13
f9422763-bd6a-45de-a0ef-0919110927ab,user_36,P1005,Smartwatch,purchase,2025-05-02 12:26:13
a15b9807-d3d8-442f-92a1-ac81ef02daad,user_91,P1001,Smartphone,purchase,2025-05-02 12:26:13
09bc814d-c901-496e-b3b6-1e122ba8483c,user_16,P1002,Laptop,view,2025-05-02 12:26:13
68c5783d-e597-4d30-bbe2-d47b8f89fd4f,user_88,P1001,Smartphone,click,2025-05-02 12:26:13
3ffb9c89-4bac-4e64-af60-e3ef85f44128,user_37,P1004,Camera,purchase,2025-05-02 12:26:13
06772302-cc1a-48bc-992a-115d9876814d,user_23,P1004,Camera,add_to_cart,2025-05-02 12:26:13
113e1feb-ec19-4fe9-b61c-4f4a82ed11df,user_39,P1005,Smartwatch,purchase,2025-05-02 12:26:13
bf502b52-18ba-4a97-b50a-9f377862cddf,user_75,P1003,Headphones,add_to_cart,2025-05-02 12:26:13
b2a269c1-ecce-4aae-86d4-332f274c80ad,user_13,P1003,Headphones,view,2025-05-02 12:26:13
1de9aaea-bd8f-4b1f-bc48-d3e71192e090,user_81,P1003,Headphones,view,2025-05-02 12:26:13
e6ba9ef8-c140-411c-aa11-9152964b4a86,user_5,P1001,Smartphone,purchase,2025-05-02 12:26:13
12e5b13d-b5c9-495d-8f3c-3fe018fb77c8,user_87,P1003,Headphones,view,2025-05-02 12:26:13
9e9b10cf-32e0-4d63-98b3-3c2e89fdfdc4,user_54,P1004,Camera,purchase,2025-05-02 12:26:13
0e745bb0-d37e-432a-8a0d-8e49f8764b48,user_12,P1004,Camera,click,2025-05-02 12:26:13
7668bd4b-75fc-4117-abcc-f7d314a77c59,user_38,P1001,Smartphone,purchase,2025-05-02 12:26:13
625ce620-e390-41f3-ab09-284fafc280c7,user_54,P1005,Smartwatch,purchase,2025-05-02 12:26:13
bbb5f985-81e4-4e7b-ac7c-8050b92c697f,user_47,P1004,Camera,purchase,2025-05-02 12:26:13
