event_id,user_id,product_id,product_name,event_type,event_time
bef7e7a0-fea7-4b52-a530-82c10f8f8b4f,user_39,P1001,Smartphone,click,2025-04-26 10:59:08
6b501ee6-a546-48db-8ff8-74991483c733,user_54,P1002,Laptop,click,2025-04-26 10:59:08
12d38124-b3ac-49b0-8c98-75505cfac721,user_71,P1002,Laptop,purchase,2025-04-26 10:59:08
f5d98de8-6d71-495f-8374-e8e2203db95f,user_49,P1001,Smartphone,purchase,2025-04-26 10:59:08
14daa87e-d094-4010-b46e-f40cd81ea5fc,user_33,P1005,Smartwatch,add_to_cart,2025-04-26 10:59:08
118bc023-f641-461c-a665-fd12aa8b836d,user_92,P1002,Laptop,view,2025-04-26 10:59:08
7b06ac65-8c70-46c1-a414-082ac197bd0b,user_70,P1005,Smartwatch,add_to_cart,2025-04-26 10:59:08
b2c1eb81-67c1-40bc-b390-69cdb3102ffb,user_32,P1001,Smartphone,purchase,2025-04-26 10:59:08
3d2affbb-9b12-49d9-b6cc-df5f0fb7351f,user_100,P1004,Camera,purchase,2025-04-26 10:59:08
2f229043-fbf7-4d6a-ad00-4d004f168bf1,user_32,P1003,Headphones,add_to_cart,2025-04-26 10:59:08
2be48a77-47d7-4faa-8e2d-c704e389a903,user_48,P1001,Smartphone,add_to_cart,2025-04-26 10:59:08
ac785ba5-2c14-4cb1-8228-4b21af399f2d,user_92,P1001,Smartphone,click,2025-04-26 10:59:08
d26c4152-4f12-4715-9314-912700b7a007,user_44,P1003,Headphones,view,2025-04-26 10:59:08
63d14abf-f7aa-4346-9d64-8d12cc533833,user_21,P1003,Headphones,purchase,2025-04-26 10:59:08
c9c65c0c-d7ea-470c-a292-f000c84a04b8,user_49,P1003,Headphones,click,2025-04-26 10:59:08
a6a515b6-7923-4577-a781-011b74db8d6f,user_58,P1004,Camera,purchase,2025-04-26 10:59:08
bf2d0d9b-9d56-4181-aa1b-92ecdc384c59,user_9,P1003,Headphones,purchase,2025-04-26 10:59:08
5bf4eccb-a450-4891-923b-f7c133a0136e,user_76,P1003,Headphones,add_to_cart,2025-04-26 10:59:08
ce5d63ff-b38e-44c4-850d-cf5cf9a5faab,user_97,P1002,Laptop,view,2025-04-26 10:59:08
